internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb,release_date,release_year,date
REZPLZ,REZ PLZ,/game/rez-plz/,jMN3X%2FZtmHoSWhNy5nXhVD%2Bv2gwe5luXLVmZdHPOFw0%3D,1,218255,2.99,14.99,1,80.053369,75,Mostly Positive,73,23,911680,1594771200,1770779560,4.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/911680/capsule_231x87.jpg?t=1628613404,2020-07-15 00:00:00+00:00,2020,07/15/20
SPITLINGS,SPITLINGS,/game/spitlings/,B3fyQd3waS01Ueif2UmcN4ez%2FP7Hsw9xLTnxQmtCMqs%3D,1,218946,2.99,14.99,1,80.053369,73,Positive,91,24,1002000,1596499200,1770667183,4.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1002000/capsule_231x87.jpg?t=1750784813,2020-08-04 00:00:00+00:00,2020,08/04/20
LANCELOTSHANGOVERTHEQUESTFORTHEHOLYBOOZE,Lancelots Hangover: The Quest for the Holy Booze,/game/lancelots-hangover-the-quest-for-the-holy-booze/,mpq%2BEtg1yNKbxl%2FYn1ERvB4j%2FtrNUklZrCiD45DYadU%3D,1,221078,2.99,14.99,1,80.053369,0,Positive,91,34,917380,1601510400,1769722707,0.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/917380/f619a6c2e89293c1a4127c2093981f8d90aeb6a5/capsule_231x87.jpg?t=1763490270,2020-10-01 00:00:00+00:00,2020,10/01/20
ADVENTURESOFCHRIS,Adventures of Chris,/game/adventures-of-chris/,UCOstownv3TcwsfKB%2B%2Bltqjon26P8ZIK5ymBLnHeih0%3D,1,220294,2.99,14.99,1,80.053369,0,Very Positive,93,116,341170,1602115200,1770760754,6.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/341170/capsule_231x87.jpg?t=1628613157,2020-10-08 00:00:00+00:00,2020,10/08/20
LOOPHERO,Loop Hero,/game/loop-hero/,j4M450WOuw7YwxAA8xmHRiBD22q6iw69PYvBbM8fxQQ%3D,1,225830,2.99,14.99,1,80.053369,82,Very Positive,91,15805,1282730,1614816000,1769898634,7.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1282730/capsule_231x87.jpg?t=1751489185,2021-03-04 00:00:00+00:00,2021,03/04/21
MASKMAKER,Maskmaker,/game/maskmaker/,uoD7g5t6jV15MJGRObs6lmq4aP5RnPpz%2B2wOt5i6XG0%3D,1,228718,2.99,14.99,1,80.053369,75,Very Positive,93,245,1337530,1618876800,1770324681,7.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1337530/capsule_231x87.jpg?t=1710941372,2021-04-20 00:00:00+00:00,2021,04/20/21
TURNIPBOYCOMMITSTAXEVASION,Turnip Boy Commits Tax Evasion,/game/turnip-boy-commits-tax-evasion/,pwSYDmcxYTz780KwxtlLMLOAggX8n9cT4mfxph1F%2BU8%3D,1,222848,2.99,14.99,1,80.053369,72,Overwhelmingly Positive,95,6861,1205450,1619049600,1770755380,8.2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1205450/capsule_231x87.jpg?t=1758380512,2021-04-22 00:00:00+00:00,2021,04/22/21
EQUESTRIANTRAINING,Equestrian Training,/game/equestrian-training/,SYn%2BsTf80uBF0K7gTbHVcsJ4Zp2SO%2FD5FFWSfqEjY9w%3D,1,231432,2.99,14.99,1,80.053369,0,,0,0,1631330,1624492800,1770673537,2.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1631330/capsule_231x87.jpg?t=1624538226,2021-06-24 00:00:00+00:00,2021,06/24/21
WORLDTITANSWAR,World Titans War,/game/pc/world-titans-war,zvZ9BMzTcEqKI2uDg3QhFGN7hRwtgOLWNwjXH2NgY50%3D,1,242083,2.99,14.99,1,80.053369,0,Mixed,55,67,1691480,1647475200,1770672522,2.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1691480/capsule_231x87.jpg?t=1725825075,2022-03-17 00:00:00+00:00,2022,03/17/22
PRINCESSFARMER,Princess Farmer,/game/princess-farmer/,ABdaX07LDnL3FxCxJq6Xi%2BOa5Uki4TpdRY0NpsrgJ0Q%3D,1,242669,2.99,14.99,1,80.053369,0,Very Positive,96,110,1320490,1648684800,1770587137,6.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1320490/capsule_231x87.jpg?t=1754327031,2022-03-31 00:00:00+00:00,2022,03/31/22
LOSTNOVA,Lost Nova,/game/lost-nova/,5Ad3dRku35maP6%2Biy9JRMHkUugx5Coy%2F2QpvJcSDcp8%3D,1,245975,2.99,14.99,1,80.053369,0,Very Positive,91,205,1603410,1652227200,1770661795,6.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1603410/capsule_231x87.jpg?t=1745534714,2022-05-11 00:00:00+00:00,2022,05/11/22
RESTLESSSOUL,RESTLESS SOUL,/game/restless-soul/,Iey6uxeDU9NBJR0VXGUrQ1w7K60wbJN09ml0kZC8M3k%3D,1,250000,2.99,14.99,1,80.053369,54,Very Positive,90,195,1748230,1661990400,1770760671,7.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1748230/capsule_231x87.jpg?t=1662566984,2022-09-01 00:00:00+00:00,2022,09/01/22
EVILLE,Eville,/game/pc/eville,BJEchzxHlKr%2BvUxDLBuyI6FnUnNnw3S3Cc%2BhdsaYnNU%3D,1,250674,2.99,14.99,1,80.053369,0,Mixed,69,419,1220170,1665446400,1770663695,6.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1220170/capsule_231x87.jpg?t=1723106676,2022-10-11 00:00:00+00:00,2022,10/11/22
